Geography,Views,Average Retention,Watch time (minutes),Likes,Dislikes,Shares,Comments,Subscribers gained,Subscribers lost
United Kingdom,74681953,73.48,202411579,608192,26051,192662,24403,98361,23770
Canada,47211053,78.17,154971044,344018,18253,169138,17180,61423,13377
United States,49760680,69.35,115769148,471422,14657,219298,24058,85647,21998
Australia,23715430,74.57,72007782,193308,7486,92389,8363,33236,6739
Germany,17152122,73.27,50755337,181068,5854,52136,3225,19815,6404
India,25208239,56.68,49856044,228722,11566,58454,8176,76928,11574
South Africa,11318183,69.61,33582494,87202,3764,23077,2223,18868,2938
Netherlands,6916650,71.21,19924527,54797,1931,18217,1568,2096,591
Sweden,5101788,72.1,14514389,38306,746,10898,499,890,78
France,5147138,70.76,14142161,53216,3327,16179,903,3008,752
Ireland,5295237,70.93,13414360,35549,1020,12191,263,1175,121
Singapore,4364604,71.02,12809548,25240,327,9115,319,1102,20
Kenya,3773513,71.21,11555707,28157,74,6396,564,3066,167
New Zealand,4038173,71.22,11302265,30437,383,6040,403,1106,30
Malaysia,4177824,65.92,10890590,31061,243,7050,383,2010,43
Philippines,4395100,65.2,10821832,42402,322,8116,1142,2973,71
Mexico,4111880,69.18,10168052,55208,295,13373,320,1832,119
Switzerland,3262574,73.64,9933107,21980,220,8726,67,528,0
United Arab Emirates,3094617,66.56,8377935,23095,518,9074,178,1778,23
Denmark,2805641,72.81,8054991,18044,184,3667,131,273,0
Indonesia,4358816,49.61,7582424,26505,578,3962,285,2277,164
Austria,2546770,73.39,7546715,21559,127,5577,0,304,0
Norway,2582849,73.6,7508220,17325,164,3281,45,270,0
Brazil,3688178,64.41,7241773,96122,683,20028,177,5620,775
Saudi Arabia,3034210,61.32,6988189,23204,1764,7926,318,2043,85
Belgium,2458675,72.4,6985101,16973,158,4525,33,431,0
Spain,2613421,68.92,6537668,27140,115,10212,55,569,48
Italy,2637058,66.48,6104604,35923,145,10958,20,974,19
Pakistan,3268075,51.78,5994464,20888,4690,9976,1427,4014,192
Portugal,2101915,71.58,5907161,27455,151,5058,34,581,15
Finland,1831283,71.87,5183873,14701,84,4216,0,42,0
Japan,1709598,71.79,4905359,12118,47,3030,58,321,0
Poland,1924509,65.38,4480635,20192,106,6743,0,334,13
Hong Kong,1436906,71.29,4156360,8990,35,2396,33,336,0
Romania,1511522,69.6,4086495,13343,147,4491,0,491,0
Nigeria,1308102,72.44,4071602,11486,155,1457,324,1884,0
Thailand,1728218,60.23,3810648,9798,41,2322,0,1222,0
Jamaica,1169934,74.63,3639765,13823,9,1188,20,606,0
Turkey,1946658,55.59,3513282,16722,129,6909,35,844,20
Israel,1336056,67.14,3403432,9736,204,3790,100,83,0
South Korea,1589575,60.8,3367889,11088,18,4715,0,594,0
Trinidad & Tobago,1112795,72.47,3278395,10175,-9,2036,0,236,0
Russia,1692456,58.34,3017900,30266,516,9871,30,808,64
Greece,1124812,67.1,2761721,11709,9,2744,0,67,0
Bangladesh,1251761,58.67,2748442,15753,88,1007,102,1242,0
Egypt,1300849,62.2,2730793,9488,106,1590,24,1339,70
Czechia,1026850,70.19,2636530,8576,5,1555,0,23,0
Vietnam,1245565,55.37,2450832,8604,9,345,0,587,23
Morocco,989663,64.69,2433159,7602,11,1258,0,912,0
Zimbabwe,728332,68.87,2180237,3086,0,925,21,712,0
Colombia,907532,70.34,2149994,10189,0,1658,0,201,0
Taiwan,836235,65.36,2067485,5894,8,1265,72,288,0
Hungary,862999,69.05,2031330,7077,26,2849,0,0,0
Ghana,638370,73.04,1995103,3761,0,169,0,663,0
Sri Lanka,768998,65.64,1973352,6479,24,771,0,388,0
Argentina,945862,65.93,1926028,15817,2,4818,0,213,0
Qatar,690967,64.9,1858418,3050,44,809,0,177,0
Chile,855608,68.23,1858195,10317,0,2409,30,108,0
Croatia,732580,68.45,1844673,5573,11,887,25,10,0
Nepal,760188,61.2,1790829,5422,0,107,0,508,0
Slovenia,628030,71.81,1682368,1817,0,104,0,0,0
Kuwait,655402,62.96,1626788,4407,1,908,0,146,0
Bulgaria,609814,69.76,1596781,4946,11,344,0,28,17
Tanzania,528147,71.85,1574718,1939,0,259,0,319,0
Algeria,685169,62.63,1509204,5976,0,367,10,731,0
Ukraine,661252,65.24,1486640,8280,0,1267,11,82,0
Serbia,595472,67.91,1423788,3026,22,534,0,0,0
Lithuania,525777,67.82,1399956,1793,0,41,0,0,0
Uganda,444793,70.95,1374598,1266,0,178,0,397,0
Jordan,517547,65.08,1275307,2350,5,199,0,24,0
Peru,546724,66.95,1217255,6411,0,541,10,164,0
Barbados,386399,74.56,1200015,1793,0,194,0,0,0
Puerto Rico,411922,74.08,1192527,4254,0,725,13,0,0
Namibia,394414,70.22,1189231,1641,0,80,0,98,0
Lebanon,469299,65.3,1147838,1377,21,242,0,41,0
Iraq,869650,45.18,1142672,4276,62,273,0,243,0
Oman,401816,65.43,1028376,1510,0,186,0,32,0
Estonia,366397,74.2,1021095,646,0,0,0,0,0
Costa Rica,372828,74.45,1017692,2759,0,196,0,21,0
Latvia,368122,72.09,1008289,1401,0,10,0,0,0
Slovakia,404849,70,990666,2375,0,183,0,0,0
Botswana,307883,73.42,967427,710,0,97,12,41,0
Ethiopia,329109,68.15,960465,50,0,192,0,46,0
Cyprus,355591,72.15,958736,802,0,36,0,0,0
Iceland,335743,72.5,952817,180,0,0,0,0,0
Tunisia,378401,68.14,945753,1219,0,43,0,73,0
Zambia,316464,69.14,942790,503,0,104,0,179,0
Ecuador,362973,67.57,844511,2794,1,90,0,10,0
Luxembourg,278348,74.76,839484,353,6,20,0,0,0
Bahrain,315884,66.92,838383,617,0,150,0,14,0
Malta,315844,73.77,835363,288,0,20,0,0,0
Guyana,259627,74.72,793967,675,1,36,0,11,0
Dominican Republic,303555,71.79,787356,2435,0,55,0,0,0
Bosnia & Herzegovina,295594,68.38,756256,889,0,88,0,0,0
Mauritius,277937,68.92,740408,1251,0,22,0,0,0
Cambodia,319982,61.91,720121,278,0,14,0,80,0
Bahamas,225071,73.99,672011,446,0,96,0,0,0
Suriname,191580,75.16,564354,307,0,0,0,0,0
Rwanda,168353,73.79,528956,38,0,0,0,0,0
Panama,196682,71.54,527634,931,0,46,0,0,0
Kazakhstan,343351,52.68,514545,2187,0,131,0,11,0
Georgia,253544,60.22,502051,419,0,10,0,0,0
North Macedonia,201302,69.89,500019,230,0,11,0,0,0
Somalia,173261,67.16,467454,78,0,0,0,10,0
Sudan,169418,70.42,460121,126,0,0,0,0,0
Brunei,166067,71.16,455650,215,0,11,0,0,0
St. Lucia,142721,76.51,449804,235,0,10,0,0,0
Guatemala,177646,70.17,427003,510,0,10,0,0,0
Mozambique,134560,74.61,415048,276,0,0,0,0,0
Fiji,152369,70.3,413453,338,0,0,0,0,0
Albania,161403,68.49,397698,98,0,0,0,0,0
Guam,136364,72.67,387356,127,0,0,0,0,0
Maldives,131239,71.24,372788,68,0,0,0,0,0
Myanmar (Burma),153576,63.59,363037,83,0,0,0,0,0
Bolivia,154569,69.74,349849,621,0,0,0,0,0
Grenada,110910,77.08,349099,32,0,0,0,0,0
Venezuela,149614,76.33,342681,1963,0,385,0,0,0
Senegal,133449,66.12,329585,42,0,0,0,0,0
Uruguay,128720,69.72,314358,460,0,0,0,0,0
Honduras,132900,67.78,310227,665,0,0,0,0,0
El Salvador,135226,68.87,309783,380,0,10,0,0,0
Curaçao,100319,73.41,301529,44,0,0,0,0,0
Palestine,142839,62.84,299121,18,-35,0,0,0,0
Cameroon,102315,67.96,294246,123,0,10,0,0,0
Belize,95976,75.17,290373,49,0,0,0,0,0
Syria,157570,58.03,283192,216,9,0,0,0,0
Antigua & Barbuda,85622,77.73,272987,16,1,0,0,0,0
Bermuda,84853,77.81,271882,20,0,0,0,0,0
Angola,89139,72.06,271534,126,0,47,0,0,0
Cayman Islands,83341,77.16,260083,27,0,0,0,0,0
St. Vincent & Grenadines,76193,75.85,237713,88,0,0,0,0,0
Malawi,73287,71.62,226296,24,0,15,0,0,0
